age,weight(kg),height(m),gender,goal,diet_plan
28,42,1.89,F,lose weight,Low Calorie
36,76,1.82,F,lose weight,Low Calorie
31,33,1.65,F,lose weight,Low Calorie
37,60,1.88,M,lose weight,Low Calorie
14,30,1.2,M,lose weight,Low Calorie
41,30,1.31,M,lose weight,Low Calorie
15,32,1.2,M,maintain weight,Maintain Weight
10,39,1.25,M,gain weight,High Protein
10,30,1.21,M,gain weight,High Protein
37,69,1.66,M,lose weight,Low Calorie
10,35,1.25,F,lose weight,Low Calorie
26,38,1.77,F,maintain weight,High Protein
10,30,1.23,F,lose weight,Lose Weight
31,36,1.77,M,gain weight,High Protein
38,39,1.22,M,maintain weight,Low Calorie
10,35,1.7,F,lose weight,Lose Weight
37,33,1.2,M,gain weight,High Protein
10,37,1.2,F,maintain weight,Maintain Weight
35,42,1.22,F,lose weight,Low Calorie
37,58,1.84,M,lose weight,Low Calorie
10,30,1.32,M,lose weight,Low Calorie
14,33,1.3,M,gain weight,Low Calorie
35,72,1.65,F,lose weight,Low Calorie
36,35,1.24,F,lose weight,Low Calorie
13,30,1.2,M,gain weight,High Protein
41,73,1.85,M,lose weight,Low Calorie
32,77,1.88,F,lose weight,Lose Weight
24,33,1.27,F,lose weight,Lose Weight
10,32,1.23,M,gain weight,High Protein
33,74,1.59,M,maintain weight,Maintain Weight
42,38,1.25,M,maintain weight,High Protein
11,31,1.26,M,maintain weight,Low Calorie
38,38,1.2,M,lose weight,Low Calorie
11,30,1.2,M,maintain weight,Low Calorie
36,76,1.68,M,lose weight,Low Calorie
29,30,1.35,M,lose weight,Low Calorie
10,31,1.3,F,lose weight,Low Calorie
31,37,1.3,M,gain weight,High Protein
35,30,1.72,M,maintain weight,Maintain Weight
15,35,1.39,M,lose weight,High Protein
37,77,1.27,M,gain weight,Low Calorie
31,67,1.67,F,lose weight,Lose Weight
10,33,1.21,F,maintain weight,Low Calorie
37,71,1.82,M,lose weight,Low Calorie
10,36,1.3,M,gain weight,High Protein
12,34,1.2,M,maintain weight,Maintain Weight
30,73,1.68,F,lose weight,Low Calorie
29,34,1.37,F,lose weight,Low Calorie
14,38,1.22,M,maintain weight,Low Calorie
10,30,1.2,F,lose weight,Lose Weight
32,72,1.29,M,lose weight,High Protein
27,55,1.72,F,lose weight,Lose Weight
32,52,1.55,F,lose weight,Low Calorie
36,78,1.72,M,lose weight,Low Calorie
37,30,1.67,M,lose weight,Low Calorie
31,79,1.35,M,lose weight,Low Calorie
14,42,1.25,M,gain weight,Low Calorie
38,35,1.29,F,lose weight,Low Calorie
36,84,1.83,F,lose weight,Low Calorie
36,40,1.24,M,lose weight,Low Calorie
29,73,1.89,F,lose weight,Lose Weight
10,30,1.22,M,maintain weight,Maintain Weight
32,43,1.78,M,lose weight,Low Calorie
37,30,1.32,M,maintain weight,Low Calorie
10,40,1.23,M,maintain weight,High Protein
10,30,1.35,M,lose weight,Low Calorie
10,30,1.28,M,gain weight,High Protein
28,74,1.61,F,lose weight,Lose Weight
31,34,1.2,M,maintain weight,Maintain Weight
11,32,1.27,F,lose weight,Low Calorie
34,38,1.29,F,lose weight,Lose Weight
31,30,1.34,F,lose weight,Low Calorie
34,93,1.79,F,lose weight,Low Calorie
33,61,1.75,F,lose weight,Low Calorie
36,88,1.64,M,lose weight,Low Calorie
10,30,1.2,F,lose weight,Lose Weight
31,68,1.63,M,lose weight,Low Calorie
28,72,1.79,M,lose weight,Low Calorie
28,72,1.77,M,lose weight,Low Calorie
41,88,1.82,M,lose weight,Low Calorie
10,35,1.25,M,maintain weight,High Protein
29,70,1.74,F,lose weight,High Protein
10,36,1.2,F,lose weight,Lose Weight
10,36,1.2,M,maintain weight,Maintain Weight
10,30,1.64,F,lose weight,Low Calorie
10,30,1.2,M,maintain weight,Maintain Weight
11,30,1.2,M,lose weight,Low Calorie
27,58,1.72,F,lose weight,Low Calorie
39,37,1.86,M,lose weight,Low Calorie
31,65,1.68,F,lose weight,Low Calorie
33,73,1.87,F,lose weight,Low Calorie
36,64,1.77,F,lose weight,Low Calorie
11,30,1.21,M,lose weight,Low Calorie
10,34,1.26,M,gain weight,High Protein
39,63,1.43,F,lose weight,Low Calorie
10,36,1.25,M,gain weight,High Protein
12,41,1.22,M,maintain weight,High Protein
10,34,1.21,F,lose weight,Lose Weight
14,31,1.26,M,maintain weight,Low Calorie
26,66,1.7,F,lose weight,Low Calorie
33,30,1.39,M,lose weight,Low Calorie
34,31,1.66,M,gain weight,High Protein
39,42,1.3,M,maintain weight,Low Calorie
35,74,1.64,F,lose weight,Low Calorie
12,44,1.24,M,gain weight,High Protein
11,33,1.24,M,lose weight,Low Calorie
